Source,Target
Попросите Тома.,Ask Tom.
Спроси Тома.,Ask Tom.
Спросите Тома.,Ask Tom.
Спроси его.,Ask him.
Спросите его.,Ask him.
Спроси у него.,Ask him.
Спросите у него.,Ask him.
Отвал башки!,Awesome!
Зашибись.,Awesome!
Спокойно!,Be calm.
Будь спокоен.,Be calm.
Будь спокойна.,Be calm.
Будьте спокойны.,Be calm.
Будь честен!,Be fair.
Будь справедлив.,Be fair.
Будь справедлива.,Be fair.
Будьте справедливы.,Be fair.
Будь добр.,Be kind.
Будь добра.,Be kind.
Будьте добры.,Be kind.
Будь милым.,Be nice.
Иди отсюда.,Beat it.
Катись отсюда.,Beat it.
Исчезни.,Beat it.
Проваливай.,Beat it.
Убирайся.,Beat it.
Вали отсюда.,Beat it.
Сожги его.,Burn it.
Сожгите его.,Burn it.
Сожгите её.,Burn it.
Сожги её.,Burn it.
Позвони мне.,Call me.
Позвоните мне.,Call me.
Позови меня.,Call me.
Позовите меня.,Call me.
Позови нас.,Call us.
Позвони нам.,Call us.
Позвоните нам.,Call us.
Позовите нас.,Call us.
Зайдите!,Come in.
Входите.,Come in.
Входи!,Come in.
Заходи.,Come in.
Входи.,Come in.
Войди.,Come in.
Заходите.,Come in.
Зайди.,Come in.
Войдите.,Come in.
Пошли!,Come on!
Давай!,Come on!
Да ладно!,Come on!
Пошли!,Come on.
Пойдём!,Come on.
Давай!,Come on.
Давайте!,Come on.
Сделай это.,Do this.
Сделайте это.,Do this.
Бросьте!,Drop it!
Забей.,Drop it.
Согни его.,Fold it.
Согни её.,Fold it.
Согните его.,Fold it.
Согните её.,Fold it.
Сложи его.,Fold it.
Сложите его.,Fold it.
Сложи её.,Fold it.
Сложите её.,Fold it.
Приведи Тома.,Get Tom.
Убирайся!,Get out!
Проваливай!,Get out!
Убирайтесь!,Get out!
Проваливайте!,Get out!
Катись отсюда.,Get out.
Вон.,Get out.
Проваливай.,Get out.
Убирайся.,Get out.
Убирайтесь.,Get out.
Уходи!,Go away!
Уходи.,Go away!
Уходите!,Go away!
Уходите.,Go away!
Уходи!,Go away.
Уходи.,Go away.
Иди отсюда.,Go away.
Уходите.,Go away.
Уйди.,Go away.
Уйдите.,Go away.
Иди обратно.,Go back.
Идите обратно.,Go back.
Поезжай обратно.,Go back.
Поезжайте обратно.,Go back.
Идите домой.,Go home.
Иди домой.,Go home.
Двигайся медленно.,Go slow.
До свидания!,Goodbye!
Доброго пути.,Goodbye!
Держись!,Hang on.
Держитесь!,Hang on.
Он пришёл.,He came.
Он ушёл.,He left.
Он уехал.,He left.
Он уволился.,He quit.
Он бегает.,He runs.
Помогите мне!,Help me!
Помоги мне!,Help me!
Помогите мне.,Help me.
Помоги мне.,Help me.
Помоги-ка мне.,Help me.
Помогите нам!,Help us.
Помоги нам!,Help us.
Помоги нам.,Help us.
Помогите нам.,Help us.
"Привет, Том.","Hi, Tom."
Бей Тома!,Hit Tom.
Ударь Тома!,Hit Tom.
Бейте Тома!,Hit Tom.
Подожди!,Hold it!
Не двигайся!,Hold it!
Ни с места!,Hold it!
Замри!,Hold it!
Не кладите трубку.,Hold on.
Как грустно!,How sad!
Как это печально.,How sad!
Обними Тома.,Hug Tom.
Обнимите Тома.,Hug Tom.
Я согласен.,I agree.
Я согласна.,I agree.
Согласна.,I agree.
Я поклонился.,I bowed.
Я плакал.,I cried.
Я плакала.,I cried.
Я вздремнул.,I dozed.
Я вёл машину.,I drove.
Я вела машину.,I drove.
Я выстрелил.,I fired.
Я переехал.,I moved.
Я переехала.,I moved.
Я спал.,I slept.
Я спала.,I slept.
Я храплю.,I snore.
Я стоял.,I stood.
Я выругался.,I swore.
Я поклялся.,I swore.
Я пытался.,I tried.
Я попробовала.,I tried.
Я махнул рукой.,I waved.
Я махнула рукой.,I waved.
Я пойду.,I'll go.
Я поеду.,I'll go.
Я Том.,I'm Tom.
Я плохой.,I'm bad.
Я плохая.,I'm bad.
Я толстый.,I'm fat.
Я толстая.,I'm fat.
Я в форме.,I'm fit.
Меня ударили!,I'm hit!
Мне жарко.,I'm hot.
Я болен.,I'm ill.
Я болею.,I'm ill.
Я больна.,I'm ill.
Я сумасшедший.,I'm mad.
Я злюсь.,I'm mad.
Я новичок.,I'm new.
Я новенькая.,I'm new.
Я старый.,I'm old.
Я старая.,I'm old.
Мне грустно.,I'm sad.
Я стесняюсь.,I'm shy.
Я стеснительный.,I'm shy.
Я стеснительная.,I'm shy.
Я застенчивый.,I'm shy.
Я застенчивая.,I'm shy.
Я робкий.,I'm shy.
Я робкая.,I'm shy.
Я стеснителен.,I'm shy.
Я стеснительна.,I'm shy.
Я мокрая.,I'm wet.
Я мокрый.,I'm wet.
Всё в порядке.,It's OK.
Всё нормально.,It's OK.
Это я.,It's me!
Это я!,It's me!
Это я.,It's me.
Присоединяйтесь ко мне!,Join me.
Присоединяйся к нам.,Join us.
Присоединяйтесь к нам.,Join us.
Оставь себе.,Keep it.
Оставьте себе.,Keep it.
Оставь его себе.,Keep it.
Оставьте его себе.,Keep it.
Оставь её себе.,Keep it.
Оставьте её себе.,Keep it.
Убей его.,Kill it.
Убейте его.,Kill it.
Убей её.,Kill it.
Убейте её.,Kill it.
Поцелуйте меня.,Kiss me.
Запри его.,Lock it.
Заприте его.,Lock it.
Запри её.,Lock it.
Заприте её.,Lock it.
Посмотрите наверх.,Look up.
Посмотри наверх.,Look up.
Я тоже.,"Me, too."
Мне тоже.,"Me, too."
Меня тоже.,"Me, too."
Открой её.,Open it.
Открой его.,Open it.
Откройте его.,Open it.
Откройте её.,Open it.
Открой.,Open up.
Открывай.,Open up.
Безупречно!,Perfect!
Превосходно!,Perfect!
Прекрасно!,Perfect!
Тяни его.,Pull it.
Перестаньте!,Quit it!
Проверь меня.,Quiz me.
Увидимся!,See you!
Увидимся.,See you.
Покажи мне!,Show me.
Покажите мне!,Show me.
Покажи.,Show me.
Покажите.,Show me.
Покажи мне.,Show me.
Покажите мне.,Show me.
Заткнись!,Shut up!
Цыц!,Shut up!
Замолчите!,Shut up!
Замолчи!,Shut up!
Заткнитесь!,Shut up!
Неважно.,Skip it.
Проехали.,Skip it.
До встречи.,So long.
Перестань!,Stop it.
Остановите это.,Stop it.
Прекрати это!,Stop it.
Прекратите это!,Stop it.
Перестаньте.,Stop it.
Возьми.,Take it.
Скажи мне.,Tell me.
Скажите мне.,Tell me.
Том поел.,Tom ate.
Том ел.,Tom ate.
Том бежал.,Tom ran.
Том выиграл.,Tom won.
Том победил.,Tom won.
Просыпайся!,Wake up!
Просыпайтесь!,Wake up!
Проснись!,Wake up!
Проснитесь!,Wake up!
Проснись.,Wake up!
Просыпайся!,Wake up.
Просыпайтесь!,Wake up.
Проснись!,Wake up.
Проснитесь!,Wake up.
Проснись.,Wake up.
Умойся.,Wash up.
Нам не всё равно.,We care.
Знаем.,We know.
Знамо дело.,We know.
Мы знаем.,We know.
Мы проиграли.,We lost.
Кто поел?,Who ate?
Кто бежал?,Who ran?
Кто выиграл?,Who won?
Кто победил?,Who won?
Почему нет?,Why not?
Почему бы и нет?,Why not?
Ты бежишь.,You run.
Ты победил.,You won.
Ты победила.,You won.
Ты выиграл.,You won.
Вы выиграли.,You won.
Вы победили.,You won.
Ты выиграла.,You won.
Я толстый?,Am I fat?
Я толстая?,Am I fat?
Спроси их.,Ask them.
Спроси у них.,Ask them.
Спросите у них.,Ask them.
Попроси их.,Ask them.
Попросите их.,Ask them.
Отстань!,Back off!
Отвали!,Back off!
Посторонитесь.,Back off.
Посторонись.,Back off.
Отойди.,Back off.
Отойдите.,Back off.
Отодвинься.,Back off.
Отодвиньтесь.,Back off.
Отвали.,Back off.
Отвяжись.,Back off.
Отстань.,Back off.
Будь мужчиной!,Be a man.
Будьте мужчиной!,Be a man.
Будь храбр.,Be brave.
Будь храбрым.,Be brave.
Будь краток.,Be brief.
Тихо.,Be quiet.
Помолчи-ка.,Be quiet.
Без понятия.,Beats me.
Проваливай.,Buzz off.
"Пока, Том.","Bye, Tom."
Позвони Тому.,Call Tom.
Позвоните Тому.,Call Tom.
Позови Тома.,Call Tom.
Позовите Тома.,Call Tom.
Поймай меня.,Catch me.
Поймайте меня.,Catch me.
Лови меня.,Catch me.
Ловите меня.,Catch me.
Не унывай!,Cheer up!
Выше нос!,Cheer up!
Взбодрись!,Cheer up.
Выше нос!,Cheer up.
Остынь!,Cool off!
Надень на него наручники.,Cuff him.
В наручники его.,Cuff him.
Не ходи.,Don't go.
Не ходите.,Don't go.
Не езди.,Don't go.
Не ездите.,Don't go.
Поехали.,Drive on.
Едем дальше.,Drive on.
Найди Тома.,Find Tom.
Найдите Тома.,Find Tom.
Исправь это.,Fix this.
Почини это.,Fix this.
Почините это.,Fix this.
Исправьте это.,Fix this.
Уходи!,Get away!
Отойди!,Get away!
Уходи.,Get away!
Иди отсюда.,Get away!
Вали отсюда.,Get away!
Займись делом.,Get busy.
Займитесь делом.,Get busy.
Займись чем-нибудь.,Get busy.
Займитесь чем-нибудь.,Get busy.
Ляг на пол!,Get down!
Спускайся!,Get down.
Выходи!,Get down.
Спускайтесь!,Get down.
Выходите!,Get down.
Убирайся!,Get lost!
Пошёл вон!,Get lost!
Проваливай!,Get lost!
Исчезни.,Get lost!
Свали!,Get lost!
А ну пошёл отсюда!,Get lost!
Сгинь!,Get lost!
А ну пошел отсюда!,Get lost!
Потеряйся!,Get lost!
Пошла прочь!,Get lost!
Пошёл прочь!,Get lost!
"Гуляй, Вася!",Get lost!
Иди ты куда подальше!,Get lost!
Иди прочь!,Get lost!
Исчезни.,Get lost.
Проваливай.,Get lost.
Убирайся.,Get lost.
Вали отсюда.,Get lost.
Будь реалистом!,Get real!
Спустись с небес на землю.,Get real.
Давай!,Go ahead!
Давай!,Go ahead.
Давай дальше.,Go on in.
Хорошая работа!,Good job!
Хорошо сработано!,Good job!
Схвати Тома.,Grab Tom.
Хватай его.,Grab him.
Хватайте его.,Grab him.
Наслаждайтесь.,Have fun.
Развлекайтесь.,Have fun.
Он говорил.,He spoke.
Он высказался.,He spoke.
Он пытался.,He tried.
Он попробовал.,He tried.
Он попытался.,He tried.
Он мокрый.,He's wet.
Помоги Тому.,Help Tom.
Помогите Тому.,Help Tom.
"Привет, ребята.","Hi, guys."
Как мило!,How cute!
Насколько глубоко?,How deep?
Как грубо!,How rude!
Рассмеши меня.,Humor me.
Просто сделай это ради меня.,Humor me.
Поторапливайся!,Hurry up.
Быстрей!,Hurry up.
Скорее!,Hurry up.
Живей!,Hurry up.
Поторапливайся.,Hurry up.
Давайте быстрее.,Hurry up.
Давай быстрей.,Hurry up.
Давай быстрей!,Hurry up.
Давайте быстрей.,Hurry up.
Давайте быстрей!,Hurry up.
Давайте быстрее!,Hurry up.
Давай быстрее.,Hurry up.
Я согласился.,I agreed.
Я Том.,I am Tom.
Я старый.,I am old.
Я старая.,I am old.
Я стар.,I am old.
Я её съел.,I ate it.
Я отрыгнул.,I burped.
Я могу пойти.,I can go.
Я могу поехать.,I can go.
Я танцевал.,I danced.
Я танцевала.,I danced.
Я сделал это.,I did it.
Я сделала это.,I did it.
У меня не получилось.,I failed.
У меня не вышло.,I failed.
Я задыхался.,I gasped.
Я справляюсь.,I get by.
Я опростоволосился.,I goofed.
Я оплошал.,I goofed.
Я дал маху.,I goofed.
Я попал впросак.,I goofed.
Я понял.,I got it.
Понял.,I got it.
Я встал.,I got up.
Я поднялся.,I got up.
Я помог.,I helped.
Я помогла.,I helped.
Я прыгнул.,I jumped.
Я прыгнула.,I jumped.
Я посмотрел.,I looked.
Я взглянул.,I looked.
Я посмотрела.,I looked.
Я простонал.,I moaned.
Я кивнул.,I nodded.
Я кивнула.,I nodded.
Я послушался.,I obeyed.
Я подчинился.,I obeyed.
Я сделал паузу.,I paused.
Я сделала паузу.,I paused.
Я звонил.,I phoned.
Я позвонил.,I phoned.
Я молился.,I prayed.
Я молилась.,I prayed.
Я помолился.,I prayed.
Я помолилась.,I prayed.
Я отказываюсь.,I refuse.
Я увольняюсь.,I resign.
Я это видел.,I saw it.
Я видела это.,I saw it.
Я его видел.,I saw it.
Я её видел.,I saw it.
Я побрился.,I shaved.
Я вздыхал.,I sighed.
Я улыбнулся.,I smiled.
Я улыбнулась.,I smiled.
Я остался.,I stayed.
Я осталась.,I stayed.
Я разговаривал.,I talked.
Я разговаривала.,I talked.
Я использую это.,I use it.
Я пользуюсь этим.,I use it.
Я им пользуюсь.,I use it.
Я ей пользуюсь.,I use it.
Я его использую.,I use it.
Я её использую.,I use it.
Я подождал.,I waited.
Я подождала.,I waited.
Я ждал.,I waited.
Я ждала.,I waited.
Я подмигнул.,I winked.
Я подмигнула.,I winked.
Я зевнул.,I yawned.
Я зевнула.,I yawned.
Я бы подождал.,I'd wait.
Я спрошу.,I'll ask.
Я умру.,I'll die.
Я заплачу.,I'll pay.
Я попробую.,I'll try.
Я попытаюсь.,I'll try.
Попытаюсь.,I'll try.
Я выиграю.,I'll win.
Я диджей.,I'm a DJ.
Я вернулся.,I'm back.
Это опять я.,I'm back.
Я вернулась.,I'm back.
Я лысый.,I'm bald.
Я лысая.,I'm bald.
Я занят.,I'm busy.
Я занята.,I'm busy.
Я спокойна.,I'm calm.
Мне холодно.,I'm cold.
Я замёрз.,I'm cold.
Я замёрзла.,I'm cold.
Я классный.,I'm cool.
Я классная.,I'm cool.
Я крут.,I'm cool.
Я клёвая.,I'm cool.
Я глухой.,I'm deaf.
Я глухая.,I'm deaf.
Я закончил.,I'm done.
Меня не волнует.,I'm easy.
Я честный.,I'm fair.
Я быстрый.,I'm fast.
Я быстрая.,I'm fast.
Со мной всё в порядке.,I'm fine.
Я в порядке.,I'm fine.
Я свободна!,I'm free!
Я свободен!,I'm free!
Я свободна.,I'm free.
Я наелся.,I'm full.
Я сыт.,I'm full.
Я сыта.,I'm full.
Я наелась.,I'm full.
Я рад.,I'm glad.
Я рада.,I'm glad.
Я хороший.,I'm good.
Я хорошая.,I'm good.
Я здесь.,I'm here.
Я тут.,I'm here.
Я под кайфом.,I'm high.
Я дома.,I'm home.
Я травмирован.,I'm hurt.
Я травмирована.,I'm hurt.
Я последний.,I'm last.
Я последняя.,I'm last.
Я опоздал.,I'm late.
Я опоздала.,I'm late.
Я опаздываю.,I'm late.
Я ленивый.,I'm lazy.
Я лентяй.,I'm lazy.
Я ленивая.,I'm lazy.
Я заблудился.,I'm lost.
Я потерялся.,I'm lost.
Я заблудилась.,I'm lost.
Я потерялась.,I'm lost.
Я подлый.,I'm mean.
Я вредный.,I'm mean.
Я зловредный.,I'm mean.
Я злой.,I'm mean.
Я злая.,I'm mean.
Я аккуратный.,I'm neat.
Я аккуратная.,I'm neat.
Я следующий.,I'm next.
Я немой.,I'm numb.
Я немая.,I'm numb.
У меня всё хорошо.,I'm okay.
Я в порядке.,I'm okay.
У меня всё в порядке.,I'm okay.
Я бедная.,I'm poor.
Я бедный.,I'm poor.
Я богат.,I'm rich.
Я богата.,I'm rich.
Я богатая.,I'm rich.
Я богатый.,I'm rich.
Я в безопасности.,I'm safe.
Я болен.,I'm sick.
Я болею.,I'm sick.
Я больна.,I'm sick.
Я медлительный.,I'm slow.
Я медленный.,I'm slow.
Я медленная.,I'm slow.
Я медлительная.,I'm slow.
Я уверена.,I'm sure.
Я убеждён.,I'm sure.
Я высокий.,I'm tall.
Я высокая.,I'm tall.
Я худой.,I'm thin.
Я опрятный.,I'm tidy.
Я опрятная.,I'm tidy.
Я уродина.,I'm ugly.
Я некрасивая.,I'm ugly.
Я некрасивый.,I'm ugly.
Я безобразен.,I'm ugly.
Я безобразна.,I'm ugly.
Мне тепло.,I'm warm.
Я слаб.,I'm weak.
Я слаба.,I'm weak.
Я слабый.,I'm weak.
Я слабая.,I'm weak.
Со мной всё хорошо.,I'm well.
Я умный.,I'm wise.
Я выиграл.,I've won.
Я победил.,I've won.
Это помогает.,It helps.
Больно.,It hurts.
Это работает.,It works.
Работает.,It works.
Это Том.,It's Tom.
Она большая.,It's big.
Это забавно.,It's fun.
Это его.,It's his.
Жарко.,It's hot.
Она горячая.,It's hot.
Он горячий.,It's hot.
Оно горячее.,It's hot.
Это новая.,It's new.
Он новый.,It's new.
Она новая.,It's new.
Оно новое.,It's new.
Этот новый.,It's new.
Это странно.,It's odd.
Она старая.,It's old.
Оно старое.,It's old.
Он красный.,It's red.
Она красная.,It's red.
Оно красное.,It's red.
Это грустно.,It's sad.
Это чай.,It's tea.
Не входить.,Keep out.
Вход запрещён.,Keep out.
Убей Тома.,Kill Tom.
Убейте Тома.,Kill Tom.
Поцелуй Тома.,Kiss Tom.
Поцелуйте Тома.,Kiss Tom.
Оставь это.,Leave it.
Оставьте это.,Leave it.
Бросьте.,Leave it.
Оставь меня!,Leave me.
Оставь меня.,Leave me.
Оставьте меня.,Leave me.
Пусти меня.,Leave me.
Оставь нас!,Leave us.
Оставьте нас!,Leave us.
Пошли!,Let's go!
Пойдём!,Let's go!
Поехали!,Let's go!
Идём.,Let's go!
Поехали.,Let's go.
Пойдем.,Let's go.
Пойдёмте.,Let's go.
Идём.,Let's go.
Берегись!,Look out!
Выходи за меня замуж.,Marry me.
Женись на мне.,Marry me.
Выходи за меня.,Marry me.
Выходите за меня.,Marry me.
Выходите за меня замуж.,Marry me.
Женитесь на мне.,Marry me.
Мне можно идти?,May I go?
Я могу идти?,May I go?
Бедный пёсик.,Poor dog.
Убегай.,Run away.
Спаси Тома.,Save Tom.
Спасите Тома.,Save Tom.
Она пришла.,She came.
Она умерла.,She died.
Она ушла.,She left.
Она уехала.,She left.
Она солгала.,She lied.
Она бегает.,She runs.
Сядь!,Sit down!
Садитесь!,Sit down!
Сядьте.,Sit down!
Сядь!,Sit down.
Садитесь!,Sit down.
Садись.,Sit down.
Сядь.,Sit down.
Сядьте.,Sit down.
Сядь здесь.,Sit here.
Садись сюда.,Sit here.
Садитесь сюда.,Sit here.
Сядьте здесь.,Sit here.
Садитесь здесь.,Sit here.
Разбей это.,Smash it.
Выкладывай.,Speak up!
Прибавь ходу.,Speed up.
Оставайтесь с нами.,Stand by.
Будь наготове.,Stand by.
Не переключайтесь.,Stand by.
Вставай!,Stand up!
Вставайте!,Stand up!
Встань.,Stand up!
Встаньте.,Stand up!
Поднимайся!,Stand up!
Поднимайтесь!,Stand up!
Встань!,Stand up!
Встаньте!,Stand up!
Вставай.,Stand up.
Встань.,Stand up.
Встаньте.,Stand up.
Оставайся на месте.,Stay put.
Остановите Тома.,Stop Tom.
Останови Тома.,Stop Tom.
Возьми Тома.,Take Tom.
Попробуйте её.,Taste it.
Попробуйте его.,Taste it.
Попробуй её.,Taste it.
Попробуй его.,Taste it.
Скажи Тому.,Tell Tom.
Скажите Тому.,Tell Tom.
Расскажи Тому.,Tell Tom.
Расскажите Тому.,Tell Tom.
Гениально.,Terrific!
Супер!,Terrific!
Отвал башки!,Terrific!
Зашибись.,Terrific!
Они победили.,They won.
Они выиграли.,They won.
Они выиграли!,They won.
Они победили!,They won.
Том пришёл.,Tom came.
Пришёл Том.,Tom came.
Том умер.,Tom died.
Том упал.,Tom fell.
Том знал.,Tom knew.
Том ушёл.,Tom left.
Том уехал.,Tom left.
Том солгал.,Tom lied.
Том соврал.,Tom lied.
Том лжет.,Tom lies.
Том врёт.,Tom lies.
Том проиграл.,Tom lost.
Том заплатил.,Tom paid.
Том уволился.,Tom quit.
Том спел.,Tom sang.
Том плавал.,Tom swam.
Том пошёл.,Tom went.
Том поехал.,Tom went.
Том плакал.,Tom wept.
Слишком поздно.,Too late.
Потрогай его.,Touch it.
Потрогайте его.,Touch it.
Прикоснись к нему.,Touch it.
Прикоснитесь к нему.,Touch it.
Потрогай её.,Touch it.
Потрогайте её.,Touch it.
Прикоснитесь к ней.,Touch it.
Прикоснись к ней.,Touch it.
Верь мне!,Trust me!
Поверьте мне!,Trust me!
Верь мне.,Trust me.
Доверься мне.,Trust me.
Доверьтесь мне.,Trust me.
Поверьте мне.,Trust me.
Верьте мне.,Trust me.
Постарайся как следует.,Try hard.
Попробуй.,Try some.
Попробуй это.,Try this.
Попробуйте это.,Try this.
Попробуй вот это.,Try this.
Воспользуйся этим.,Use this.
Предупреди Тома.,Warn Tom.
Предупредите Тома.,Warn Tom.
Мы согласны.,We agree.
Мы плакали.,We cried.
Мы переехали.,We moved.
Мы попробовали.,We tried.
Мы попытались.,We tried.
Мы пойдём.,We'll go.
Мы идём.,We'll go.
Мы поедем.,We'll go.
Мы в порядке.,We're OK.
Для чего?,What for?
Почему?,What for?
Зачем?,What for?
Как весело!,What fun!
Кто пришёл?,Who came?
Кто умер?,Who died?
Кто упал?,Who fell?
Кто проиграл?,Who lost?
Кто заплатил?,Who paid?
Кто вышел?,Who quit?
Кто уволился?,Who quit?
Кто плавал?,Who swam?
Напиши мне!,Write me.
Напишите мне!,Write me.
Пиши мне.,Write me.
Пишите мне.,Write me.
Вы проиграли.,You lost.
Ты проиграл.,You lost.
Ты проиграла.,You lost.
После вас.,After you.
Только после Вас.,After you.
Сначала ты.,After you.
Целься. Пли!,Aim. Fire!
Целься. Огонь!,Aim. Fire!
Я умер?,Am I dead?
Я опоздал?,Am I late?
Я опоздала?,Am I late?
Ответь мне.,Answer me.
Ответьте мне.,Answer me.
Отвечайте мне.,Answer me.
Отвечай мне.,Answer me.
Будь честен.,Be honest.
Будьте честны.,Be honest.
Крепись.,Be strong.
Крепитесь.,Be strong.
Крепись!,Be strong.
Птицы летают.,Birds fly.
Будь здоров!,Bless you.
Позвони домой.,Call home!
Позвоните домой.,Call home!
Успокойся!,Calm down!
Успокойтесь!,Calm down!
Успокойтесь.,Calm down.
Я могу есть?,Can I eat?
Я могу поесть?,Can I eat?
Мы можем идти?,Can we go?
Поймай Тома.,Catch Tom.
Ловите Тома.,Catch Tom.
Лови Тома.,Catch Tom.
Поймайте Тома.,Catch Tom.
Лови его.,Catch him.
Хватай его.,Catch him.
Ловите его.,Catch him.
Остынь.,Chill out.
Выбери меня.,Choose me.
Освободите помещение!,Clear out.
Вернись!,Come back.
Вернитесь!,Come back.
Возвращайся!,Come back.
Возвращайтесь!,Come back.
Вернись.,Come back.
Иди сюда!,Come here.
Иди сюда.,Come here.
Иди ко мне.,Come here.
Идите сюда.,Come here.
Возвращайся домой.,Come home.
Приходи домой.,Come home.
Идите ко мне!,Come over.
Приезжай.,Come over.
Приезжайте.,Come over.
Приходите скорее!,Come soon.
Приходи скорей!,Come soon.
Остынь.,Cool down.
Остыньте.,Cool down.
Я выиграл?,Did I win?
Я победил?,Did I win?
Сделайте это сейчас.,Do it now.
Собаки лают.,Dogs bark.
Псы лают.,Dogs bark.
Не спрашивай.,Don't ask.
Не спрашивайте.,Don't ask.
Не плачь.,Don't cry.
Не плачьте.,Don't cry.
Не реви.,Don't cry.
Не плачь!,Don't cry.
Не умирай.,Don't die.
Не умирайте!,Don't die.
Не лги.,Don't lie.
Не ври.,Don't lie.
Не врите.,Don't lie.
Не лгите.,Don't lie.
Не беги.,Don't run.
Не бегите.,Don't run.
Извините.,Excuse me.
"Что, простите?",Excuse me?
Прошу прощения?,Excuse me?
Что Вы сказали?,Excuse me?
Фантастика!,Fantastic!
